step	train_loss	val_loss	elapsed_s
500	2.4117	2.3725	7
1000	2.2037	2.2750	15
1500	2.0884	2.2003	22
2000	2.0079	2.1719	29
2500	1.9214	2.0953	37
3000	1.8367	2.0031	44
3500	1.7800	1.9161	52
4000	1.7066	1.8625	61
4500	1.6859	1.7763	69
5000	1.6251	1.7489	77
5500	1.6051	1.7076	84
6000	1.5560	1.6856	92
6500	1.5220	1.6878	100
7000	1.5402	1.6538	107
7500	1.5108	1.6715	115
8000	1.4966	1.6453	122
8500	1.4975	1.6510	130
9000	1.4601	1.6241	137
9500	1.4555	1.6161	145
10000	1.4362	1.6002	153
10500	1.4287	1.5983	160
11000	1.4076	1.5995	168
11500	1.4170	1.5993	175
12000	1.4120	1.5838	183
12500	1.3960	1.5796	191
13000	1.4215	1.5649	199
13500	1.3782	1.5754	206
14000	1.4104	1.5701	214
14500	1.4076	1.5575	222
15000	1.3678	1.5582	229
15500	1.3788	1.5519	237
16000	1.3822	1.5365	245
16500	1.3825	1.5470	252
17000	1.3495	1.5588	260
17500	1.3828	1.5321	267
18000	1.3632	1.5244	275
18500	1.3492	1.5272	284
19000	1.3645	1.5204	292
19500	1.3308	1.5161	300
20000	1.3395	1.5230	307
20500	1.3163	1.5105	315
21000	1.3373	1.5333	322
21500	1.3592	1.5253	331
22000	1.3247	1.5114	339
22500	1.3291	1.4980	347
23000	1.3216	1.5080	355
23500	1.3183	1.5077	363
24000	1.3008	1.4979	371
24500	1.3325	1.4873	378
25000	1.3229	1.4997	386
25500	1.2994	1.4903	393
26000	1.3092	1.4875	400
26500	1.2838	1.4901	408
27000	1.3076	1.4999	416
27500	1.3118	1.4825	424
28000	1.2789	1.4857	432
28500	1.3097	1.4925	439
29000	1.2920	1.4872	447
29500	1.3013	1.4723	454
30000	1.2904	1.4690	462
30500	1.3013	1.4643	469
31000	1.2926	1.4676	477
31500	1.2855	1.4661	485
32000	1.2752	1.4773	494
32500	1.2905	1.4689	503
33000	1.2637	1.4798	512
33500	1.2618	1.4588	521
34000	1.2869	1.4722	530
34500	1.2706	1.4661	539
35000	1.2858	1.4616	549
35500	1.2647	1.4627	559
36000	1.2456	1.4575	570
36500	1.2518	1.4537	580
37000	1.2583	1.4497	588
37500	1.2607	1.4475	596
38000	1.2624	1.4621	604
38500	1.2766	1.4533	611
39000	1.2599	1.4335	619
39500	1.2643	1.4351	626
40000	1.2455	1.4413	634
40500	1.2533	1.4523	641
41000	1.2520	1.4447	649
41500	1.2491	1.4459	656
42000	1.2602	1.4534	664
42500	1.2403	1.4425	671
43000	1.2317	1.4411	678
43500	1.2405	1.4459	685
44000	1.2575	1.4425	692
44500	1.2526	1.4364	700
45000	1.2502	1.4358	707
