step	train_loss	val_loss	elapsed_s
1000	2.1892	2.2872	21
2000	2.0171	2.1658	41
3000	1.8540	2.0231	61
4000	1.7184	1.8368	81
5000	1.6321	1.7515	100
6000	1.5596	1.7160	119
7000	1.5272	1.6677	138
8000	1.5007	1.6429	153
9000	1.4737	1.6162	166
10000	1.4563	1.6145	179
11000	1.4442	1.5929	195
12000	1.4194	1.5861	210
13000	1.3924	1.5680	228
14000	1.3937	1.5609	247
15000	1.3516	1.5681	266
16000	1.3587	1.5394	283
17000	1.3463	1.5383	296
18000	1.3437	1.5248	312
19000	1.3517	1.5173	331
20000	1.3210	1.5068	350
21000	1.3352	1.5064	367
22000	1.3302	1.5113	384
23000	1.3278	1.4934	402
24000	1.2999	1.4886	421
25000	1.3141	1.4969	439
26000	1.3204	1.4855	458
27000	1.2923	1.4743	477
28000	1.2793	1.4807	496
29000	1.3094	1.4804	515
30000	1.2869	1.4638	532
31000	1.2778	1.4580	550
32000	1.2787	1.4622	571
33000	1.2885	1.4565	591
34000	1.2742	1.4482	610
35000	1.2911	1.4528	628
36000	1.2591	1.4500	645
37000	1.2815	1.4515	662
38000	1.2728	1.4392	681
39000	1.2608	1.4401	700
40000	1.2340	1.4456	721
41000	1.2644	1.4364	744
42000	1.2551	1.4395	766
43000	1.2524	1.4200	786
44000	1.2351	1.4300	806
45000	1.2385	1.4269	825
46000	1.2587	1.4221	843
47000	1.2401	1.4269	861
48000	1.1763	1.3640	877
49000	1.1641	1.3502	891
50000	1.1645	1.3543	909
51000	1.1619	1.3429	926
52000	1.1497	1.3374	944
53000	1.1305	1.3356	961
54000	1.1251	1.3347	975
55000	1.1414	1.3389	988
56000	1.1415	1.3388	1001
57000	1.1404	1.3317	1014
58000	1.1613	1.3388	1027
59000	1.1125	1.3293	1040
60000	1.1436	1.3286	1053
61000	1.1233	1.3302	1065
62000	1.1268	1.3258	1079
63000	1.1353	1.3275	1092
64000	1.1451	1.3247	1105
65000	1.1457	1.3173	1118
66000	1.1192	1.3195	1130
67000	1.1230	1.3197	1144
68000	1.1287	1.3220	1157
69000	1.1326	1.3169	1170
70000	1.1171	1.3175	1183
71000	1.1262	1.3163	1201
72000	1.1377	1.3237	1216
73000	1.1325	1.3161	1228
74000	1.1356	1.3216	1241
75000	1.1270	1.3143	1254
76000	1.1193	1.3139	1267
77000	1.1337	1.3155	1280
78000	1.1081	1.3105	1292
79000	1.1108	1.3173	1305
80000	1.1126	1.3240	1318
81000	1.1166	1.3094	1333
82000	1.1070	1.3105	1349
83000	1.1058	1.3122	1366
84000	1.1037	1.3103	1387
85000	1.1292	1.3077	1403
86000	1.0810	1.3094	1419
87000	1.1084	1.3097	1434
88000	1.0860	1.3070	1450
89000	1.1132	1.3090	1465
90000	1.0999	1.3175	1481
91000	1.0953	1.3080	1497
92000	1.1200	1.3093	1513
93000	1.0804	1.2814	1528
94000	1.0735	1.2769	1543
95000	1.0578	1.2756	1559
96000	1.0779	1.2732	1585
97000	1.0661	1.2723	1610
98000	1.0402	1.2742	1634
99000	1.0438	1.2727	1654
100000	1.0747	1.2712	1670
101000	1.0406	1.2739	1690
102000	1.0700	1.2709	1712
103000	1.0608	1.2676	1733
104000	1.0346	1.2707	1749
105000	1.0641	1.2695	1764
106000	1.0435	1.2682	1779
107000	1.0636	1.2666	1796
108000	1.0395	1.2683	1811
109000	1.0679	1.2712	1826
110000	1.0564	1.2676	1841
111000	1.0556	1.2661	1857
112000	1.0501	1.2671	1873
113000	1.0347	1.2684	1888
114000	1.0552	1.2649	1903
115000	1.0414	1.2646	1918
116000	1.0423	1.2653	1934
117000	1.0398	1.2642	1950
118000	1.0615	1.2618	1967
119000	1.0507	1.2638	1983
120000	1.0470	1.2639	1999
121000	1.0517	1.2623	2014
122000	1.0577	1.2629	2030
123000	1.0478	1.2514	2046
124000	1.0118	1.2500	2062
125000	1.0317	1.2504	2077
126000	1.0377	1.2491	2093
127000	1.0304	1.2486	2112
128000	1.0308	1.2483	2133
129000	1.0136	1.2466	2153
130000	1.0308	1.2478	2175
131000	1.0257	1.2472	2195
132000	1.0282	1.2456	2214
133000	1.0527	1.2481	2234
134000	1.0245	1.2484	2255
135000	1.0438	1.2470	2282
136000	1.0314	1.2484	2311
137000	1.0345	1.2458	2344
138000	1.0202	1.2472	2373
139000	1.0109	1.2458	2388
140000	1.0318	1.2478	2403
141000	1.0188	1.2472	2418
142000	1.0276	1.2453	2433
143000	1.0085	1.2463	2449
144000	1.0282	1.2457	2464
145000	1.0381	1.2465	2479
146000	1.0245	1.2462	2494
147000	1.0195	1.2463	2509
148000	1.0131	1.2463	2525
149000	1.0275	1.2442	2541
150000	1.0248	1.2455	2556
151000	1.0140	1.2456	2573
152000	1.0098	1.2451	2590
153000	1.0197	1.2464	2607
154000	1.0034	1.2447	2622
155000	1.0174	1.2458	2637
156000	1.0276	1.2469	2653
157000	1.0180	1.2442	2670
158000	1.0067	1.2437	2686
159000	1.0013	1.2444	2703
160000	1.0235	1.2459	2720
161000	1.0166	1.2445	2737
162000	1.0114	1.2441	2754
163000	1.0188	1.2458	2771
164000	1.0185	1.2461	2788
165000	1.0180	1.2450	2805
166000	1.0055	1.2442	2822
167000	1.0106	1.2443	2839
168000	1.0081	1.2451	2857
169000	1.0202	1.2442	2874
170000	1.0135	1.2445	2891
