step	train_loss	val_loss	elapsed_s
500	2.3952	2.3413	8
1000	2.1847	2.2312	16
1500	2.0427	2.2194	23
2000	1.9875	2.2120	31
2500	1.9181	2.0692	38
3000	1.8454	1.9583	46
3500	1.7489	1.8704	53
4000	1.6815	1.8048	60
4500	1.6467	1.7502	68
5000	1.6121	1.6998	75
5500	1.5729	1.6848	83
6000	1.5419	1.6697	90
6500	1.5242	1.6465	98
7000	1.4849	1.6374	105
7500	1.4954	1.6287	113
8000	1.4785	1.6138	120
8500	1.4519	1.6013	128
9000	1.4483	1.5938	135
9500	1.4303	1.5754	143
10000	1.4184	1.5681	150
10500	1.4018	1.5628	157
11000	1.4059	1.5511	165
11500	1.4004	1.5471	172
12000	1.3860	1.5516	179
12500	1.4118	1.5375	187
13000	1.3624	1.5341	194
13500	1.3643	1.5299	202
14000	1.3696	1.5330	209
14500	1.3416	1.5328	216
15000	1.3558	1.5168	224
15500	1.3279	1.5318	231
16000	1.3445	1.5200	239
16500	1.3256	1.5141	246
17000	1.3362	1.4895	254
17500	1.3465	1.4888	261
18000	1.3443	1.5032	269
18500	1.3329	1.4869	276
19000	1.3368	1.4923	283
19500	1.3151	1.4927	291
20000	1.3278	1.4890	298
20500	1.3259	1.4888	305
21000	1.3145	1.4721	312
21500	1.3133	1.4887	319
22000	1.2957	1.4956	326
22500	1.3012	1.4749	333
23000	1.2982	1.4819	340
23500	1.2962	1.4701	347
24000	1.2920	1.4724	354
24500	1.2908	1.4611	361
25000	1.2880	1.4666	368
25500	1.2847	1.4757	375
26000	1.2749	1.4597	382
26500	1.2731	1.4606	389
27000	1.2870	1.4555	396
27500	1.2703	1.4559	403
28000	1.2750	1.4713	410
28500	1.2575	1.4600	418
29000	1.2645	1.4480	426
29500	1.2565	1.4538	433
30000	1.2611	1.4469	441
30500	1.2724	1.4652	448
31000	1.2574	1.4548	455
31500	1.2639	1.4489	465
32000	1.2593	1.4633	477
32500	1.2637	1.4347	486
33000	1.2512	1.4489	493
33500	1.2389	1.4354	500
34000	1.2425	1.4485	507
34500	1.2351	1.4349	514
35000	1.2283	1.4395	521
35500	1.2490	1.4386	528
36000	1.2538	1.4362	535
36500	1.2375	1.4383	543
37000	1.2310	1.4307	550
37500	1.2381	1.4364	557
38000	1.2351	1.4332	564
38500	1.2283	1.4300	570
39000	1.2343	1.4421	577
39500	1.2144	1.4296	584
40000	1.2085	1.4357	591
40500	1.2211	1.4363	598
41000	1.2198	1.4380	605
41500	1.2081	1.4333	612
42000	1.2315	1.4280	619
42500	1.2073	1.4253	626
43000	1.2293	1.4318	633
43500	1.2223	1.4285	640
44000	1.2165	1.4342	647
44500	1.2326	1.4356	653
45000	1.2132	1.4295	660
45500	1.2198	1.4177	667
46000	1.2280	1.4191	674
46500	1.2179	1.4100	681
47000	1.2117	1.4171	688
47500	1.1992	1.4164	695
48000	1.2084	1.4179	705
48500	1.1563	1.3642	715
49000	1.1514	1.3523	725
49500	1.1453	1.3491	736
50000	1.1383	1.3437	746
50500	1.1377	1.3407	756
51000	1.1475	1.3396	766
51500	1.1337	1.3444	773
52000	1.1325	1.3398	780
52500	1.1233	1.3419	787
53000	1.1259	1.3411	795
53500	1.1275	1.3356	802
54000	1.1097	1.3361	809
54500	1.1142	1.3395	816
55000	1.1168	1.3388	822
55500	1.1025	1.3342	829
56000	1.1222	1.3323	836
56500	1.1185	1.3304	843
57000	1.1242	1.3298	850
57500	1.1128	1.3344	858
58000	1.1184	1.3324	865
58500	1.1076	1.3383	872
59000	1.1024	1.3247	879
59500	1.0921	1.3249	886
60000	1.0943	1.3256	894
60500	1.1075	1.3298	902
61000	1.1003	1.3274	911
61500	1.1122	1.3260	919
62000	1.1057	1.3260	927
62500	1.1003	1.3272	937
63000	1.0931	1.3287	945
63500	1.0942	1.3272	953
64000	1.0955	1.3268	961
64500	1.0923	1.3248	970
65000	1.0979	1.3278	978
