step	train_loss	val_loss	elapsed_s
500	2.4036	2.4640	15
1000	2.1716	2.3933	30
1500	2.0871	2.3322	45
2000	1.9985	2.2836	60
2500	1.8958	2.2598	76
3000	1.8508	2.2299	90
3500	1.8339	2.1940	105
4000	1.7634	2.2051	116
4500	1.7365	2.1931	127
5000	1.7176	2.1634	138
5500	1.6747	2.1721	150
6000	1.6494	2.1348	162
6500	1.6129	2.1274	173
7000	1.6213	2.1128	185
7500	1.5983	2.1320	196
8000	1.5897	2.1018	207
8500	1.5583	2.0970	218
9000	1.4992	2.1134	230
9500	1.5936	2.0973	242
10000	1.5060	2.0848	254
10500	1.4956	2.0806	262
11000	1.4966	2.0750	272
11500	1.5146	2.0724	281
12000	1.5426	2.0593	291
12500	1.5023	2.0585	299
13000	1.5099	2.0531	308
13500	1.5354	2.0395	318
14000	1.4577	2.0453	327
14500	1.4947	2.0379	337
15000	1.4877	2.0449	347
15500	1.5079	2.0392	358
16000	1.4529	2.0558	368
16500	1.4982	2.0376	378
17000	1.5014	2.0262	389
17500	1.4993	2.0290	400
18000	1.4570	2.0415	416
18500	1.4305	2.0293	433
19000	1.4746	2.0210	448
19500	1.4604	2.0276	461
20000	1.4319	2.0205	473
20500	1.4775	2.0132	489
21000	1.4359	2.0165	504
21500	1.4272	2.0242	517
22000	1.4336	2.0214	533
22500	1.4471	2.0207	546
23000	1.3879	2.0057	559
23500	1.4353	2.0157	570
24000	1.4155	2.0058	582
24500	1.3972	2.0097	593
25000	1.3789	2.0266	605
25500	1.3946	2.0061	618
26000	1.3994	1.9978	630
26500	1.3832	2.0101	641
27000	1.3685	2.0035	656
27500	1.4068	2.0081	672
28000	1.4430	1.9944	687
28500	1.3337	2.0083	700
29000	1.3742	2.0058	714
29500	1.4230	2.0022	725
30000	1.4030	2.0024	738
30500	1.3977	2.0001	749
31000	1.3819	1.9924	761
31500	1.3808	2.0090	771
32000	1.3527	2.0186	780
32500	1.3692	2.0016	790
33000	1.3756	1.9995	799
33500	1.3832	2.0044	807
34000	1.3876	2.0001	817
34500	1.3476	2.0001	829
35000	1.3630	1.9913	838
35500	1.3664	2.0312	848
36000	1.3693	1.9955	858
36500	1.3741	1.9470	871
37000	1.3571	1.9446	884
37500	1.2993	1.9330	897
38000	1.3078	1.9413	911
38500	1.2549	1.9381	926
39000	1.2950	1.9332	942
39500	1.3327	1.9358	954
40000	1.2774	1.9317	965
40500	1.3156	1.9349	977
41000	1.3194	1.9233	989
41500	1.3033	1.9203	1001
42000	1.2915	1.9326	1012
42500	1.3297	1.9261	1025
43000	1.3234	1.9243	1037
43500	1.3020	1.9333	1048
44000	1.2806	1.9269	1060
44500	1.2976	1.9308	1071
45000	1.2478	1.9296	1082
45500	1.2839	1.9331	1094
46000	1.2805	1.9282	1107
46500	1.3294	1.9244	1118
47000	1.2579	1.9213	1130
47500	1.2817	1.9227	1145
