step	train_loss	val_loss	elapsed_s
1000	2.1892	2.2872	15
2000	2.0171	2.1658	30
3000	1.8540	2.0231	44
4000	1.7184	1.8368	58
5000	1.6321	1.7515	71
6000	1.5596	1.7160	85
7000	1.5272	1.6677	99
8000	1.5007	1.6429	112
9000	1.4737	1.6162	125
10000	1.4563	1.6145	139
11000	1.4442	1.5929	154
12000	1.4194	1.5861	167
13000	1.3924	1.5680	180
14000	1.3937	1.5609	193
15000	1.3516	1.5681	206
16000	1.3587	1.5394	220
17000	1.3463	1.5383	233
18000	1.3437	1.5248	248
19000	1.3517	1.5173	263
20000	1.3210	1.5068	279
21000	1.3352	1.5064	298
22000	1.3302	1.5113	317
23000	1.3278	1.4934	335
24000	1.2999	1.4886	349
25000	1.3141	1.4969	362
26000	1.3204	1.4855	379
27000	1.2923	1.4743	397
28000	1.2793	1.4807	414
29000	1.3094	1.4804	431
30000	1.2869	1.4638	448
31000	1.2778	1.4580	465
32000	1.2787	1.4622	482
33000	1.2885	1.4565	500
34000	1.2742	1.4482	517
35000	1.2911	1.4528	534
36000	1.2591	1.4500	552
37000	1.2815	1.4515	570
38000	1.2728	1.4392	588
39000	1.2608	1.4401	603
40000	1.2340	1.4456	617
41000	1.2644	1.4364	631
42000	1.2551	1.4395	645
43000	1.2524	1.4200	659
44000	1.2351	1.4300	673
45000	1.2385	1.4269	687
46000	1.2587	1.4221	701
47000	1.2401	1.4269	715
48000	1.2355	1.4282	729
49000	1.2289	1.4250	743
50000	1.2359	1.4342	759
51000	1.2335	1.4230	777
52000	1.2267	1.4156	792
53000	1.2057	1.4173	806
54000	1.1978	1.4097	820
55000	1.2211	1.4160	833
56000	1.2208	1.4161	847
57000	1.2207	1.4219	861
58000	1.2382	1.4180	875
59000	1.1898	1.4047	889
60000	1.2234	1.4033	903
61000	1.2046	1.4091	918
62000	1.2088	1.4012	932
63000	1.2137	1.4107	948
64000	1.2229	1.4086	967
65000	1.2271	1.3952	981
66000	1.2012	1.3994	996
67000	1.2002	1.4050	1011
68000	1.2082	1.4041	1026
69000	1.2131	1.3874	1047
70000	1.1966	1.3954	1068
71000	1.2043	1.4055	1086
72000	1.2222	1.4039	1103
73000	1.2189	1.4033	1121
74000	1.2168	1.3978	1134
75000	1.2096	1.3951	1147
76000	1.1989	1.4076	1160
77000	1.2169	1.3942	1172
78000	1.1860	1.3915	1185
79000	1.1893	1.3996	1198
80000	1.1987	1.4226	1211
81000	1.1972	1.3829	1223
82000	1.1906	1.3880	1236
83000	1.1861	1.3945	1248
84000	1.1859	1.3919	1261
85000	1.2185	1.3842	1274
86000	1.1629	1.3889	1286
87000	1.1904	1.3885	1299
88000	1.1687	1.3881	1312
89000	1.1975	1.3787	1325
90000	1.1846	1.4045	1338
91000	1.1840	1.3871	1351
92000	1.2007	1.3833	1365
93000	1.1935	1.3851	1379
94000	1.1897	1.3724	1394
95000	1.1707	1.3937	1408
96000	1.1974	1.3839	1422
97000	1.1837	1.3780	1436
98000	1.1535	1.3837	1451
99000	1.1556	1.3894	1465
100000	1.1992	1.3865	1478
101000	1.1603	1.3759	1490
102000	1.1953	1.3910	1504
103000	1.1807	1.3725	1519
104000	1.1533	1.3898	1533
105000	1.1830	1.3821	1548
106000	1.1575	1.3803	1561
107000	1.1868	1.3742	1574
108000	1.1638	1.3814	1587
109000	1.1932	1.3769	1600
